countryCode,partyNameNative,partyNameEnglish,partyNameAbbreviation
SRB,,,
ALB,,,
FRA,,,
DEU,,,
BGR,,,
ARM,,,
ISL,,,
UKR,,,
SVN,,,
CZE,,,
